# Legacy-audio-damage-accounting (BUG-0046): the movies in this report were normalized under the deprecated acompressor+dynamic-loudnorm chain (active 2025-10-03 -> 2026-05-30). Damage is irreversible from encoded output. Operator-driven external re-acquisition is the only path to recovery. See memory/KNOWN-ISSUES.md BUG-0046.
MediaFileId,Filename,CanonicalPath,LegacyAttemptDate,LegacyProfile,SourceIntegratedLufs,AudioCodec,AudioBitrateKbps,AudioChannels,DurationMinutes
53242,TestCuteCuteSexArt.25.10.05.Candie.Luciani.Capture.The.Moment.XXX.2160p.MP4-WRB.mp4,Videos/Test/TestCuteCuteSexArt.25.10.05.Candie.Luciani.Capture.The.Moment.XXX.2160p.MP4-WRB.mp4,2025-10-14 15:02:56.234294,Live action 42 - Grain (2160 Downscale to 480p) - Copy,-23.8,aac,319,2,3.003333333333333
60657,IntimatePOV.25.04.19.Abella.Danger.Poolside.Satisfaction.XXX.2160p.MP4-VSEX.mp4,Videos/Couple/IntimatePOV.25.04.19.Abella.Danger.Poolside.Satisfaction.XXX.2160p.MP4-VSEX.mp4,2026-01-26 13:42:09.588646,SVT-AV1 P6 FG12 >720p,-16.3,aac,317,2,27.668752216666668
60752,IntimatePOV.25.07.19.Agatha.Vega.Simon.Kitty.Threesome.With.High.Maintenance.Beauties.XXX.2160p.MP4-VSEX.mp4,Videos/Couple/IntimatePOV.25.07.19.Agatha.Vega.Simon.Kitty.Threesome.With.High.Maintenance.Beauties.XXX.2160p.MP4-VSEX.mp4,2026-01-26 12:56:15.086102,SVT-AV1 P6 FG12 >720p,-22.4,aac,317,2,28.421726733333333
60755,IntimatePOV.25.09.27.Ella.Reese.Dream.GF.Ella.Reese.XXX.2160p.MP4-VSEX.mp4,Videos/Couple/IntimatePOV.25.09.27.Ella.Reese.Dream.GF.Ella.Reese.XXX.2160p.MP4-VSEX.mp4,2026-01-26 13:11:44.958494,SVT-AV1 P6 FG12 >720p,-14.0,aac,317,2,28.400594450000003
60621,IntimatePOV.25.10.04.Melody.Marks.Ella.Reese.Nothing.A.Threesome.Wouldnt.Solve.XXX.2160p.MP4-VSEX.mp4,Videos/Couple/IntimatePOV.25.10.04.Melody.Marks.Ella.Reese.Nothing.A.Threesome.Wouldnt.Solve.XXX.2160p.MP4-VSEX.mp4,2026-01-26 13:57:19.708170,SVT-AV1 P6 FG12 >720p,-17.7,aac,317,2,27.641502783333333
60744,OfficePOV.23.07.10.Sata.Jones.Casting.With.Sata.Jones.XXX.2160p.MP4-VSEX.mp4,Videos/Couple/OfficePOV.23.07.10.Sata.Jones.Casting.With.Sata.Jones.XXX.2160p.MP4-VSEX.mp4,2026-01-26 15:06:25.863521,SVT-AV1 P6 FG12 >720p,-24.2,aac,317,2,26.407492366666666
60777,OfficePOV.24.11.04.Nina.Heels.Fair.Share.XXX.2160p.MP4-VSEX.mp4,Videos/Couple/OfficePOV.24.11.04.Nina.Heels.Fair.Share.XXX.2160p.MP4-VSEX.mp4,2026-01-26 12:40:34.540956,SVT-AV1 P6 FG12 >720p,-15.9,aac,317,2,28.474001116666667
60693,OfficePOV.24.11.11.Candee.Licious.A.Very.Grateful.Co.Worker.XXX.2160p.MP4-VSEX.mp4,Videos/Couple/OfficePOV.24.11.11.Candee.Licious.A.Very.Grateful.Co.Worker.XXX.2160p.MP4-VSEX.mp4,2026-01-26 14:29:12.109318,SVT-AV1 P6 FG12 >720p,-18.3,aac,317,2,27.261122916666668
60768,OfficePOV.25.01.06.Lucette.Nice.Gym.Time.With.The.Boss.XXX.2160p.MP4-VSEX.mp4,Videos/Couple/OfficePOV.25.01.06.Lucette.Nice.Gym.Time.With.The.Boss.XXX.2160p.MP4-VSEX.mp4,2026-01-26 14:12:23.999948,SVT-AV1 P6 FG12 >720p,-19.2,aac,317,2,27.265015633333334
60653,OfficePOV.25.05.05.Angelika.Grays.The.Immoral.Influencer.XXX.2160p.MP4-VSEX.mp4,Videos/Couple/OfficePOV.25.05.05.Angelika.Grays.The.Immoral.Influencer.XXX.2160p.MP4-VSEX.mp4,2026-01-26 14:47:55.884147,SVT-AV1 P6 FG12 >720p,-17.3,aac,317,2,26.669420549999998
60723,OfficePOV.25.06.02.Megan.Fiore.Busty.Brunette.Team.Player.XXX.2160p.MP4-VSEX.mp4,Videos/Couple/OfficePOV.25.06.02.Megan.Fiore.Busty.Brunette.Team.Player.XXX.2160p.MP4-VSEX.mp4,2026-01-26 13:27:02.226586,SVT-AV1 P6 FG12 >720p,-11.8,aac,317,2,28.123095133333333
55537,FeetishPOV.23.07.07.Tina.Kay.The.Foot.Fetish.Diva.XXX.2160p.MP4-VSEX.mp4,Videos/Couple/FeetishPOV.23.07.07.Tina.Kay.The.Foot.Fetish.Diva.XXX.2160p.MP4-VSEX.mp4,2025-11-06 05:00:32.383700,SVT-AV1 P6 FG8 CRF36 >720p,-22.0,aac,252,2,21.956
617553,CuteSheer.24.05.12.Sweetie.Fox.Gwen.Stacy.Enjoys.Ass.Fucking.College.Girl.Anal.Masturbates.XXX.2160p.MP4-P2P.mp4,Videos/Anal/CuteSheer.24.05.12.Sweetie.Fox.Gwen.Stacy.Enjoys.Ass.Fucking.College.Girl.Anal.Masturbates.XXX.2160p.MP4-P2P.mp4,2026-05-11 18:11:20.178963,SVT-AV1 P6 FG8 >480p,-31.1,aac,236,2,18.791944450000003
614466,Milfy.26.01.28.Spencer.Scott.Cheating.MILF.Has.Secret.Anal.XXX.2160p.MP4-P2P.mp4,Videos/Anal/Milfy.26.01.28.Spencer.Scott.Cheating.MILF.Has.Secret.Anal.XXX.2160p.MP4-P2P.mp4,2026-02-11 23:07:08.703575,SVT-AV1 P6 FG8 CRF28 >720p,-22.4,aac,159,2,30.907566666666664
1980,00 Firefly Serenity - Pilot Film 2002 Eng Subs 480p [H264-mp4]-mv.mp4,Firefly/Specials/00 Firefly Serenity - Pilot Film 2002 Eng Subs 480p [H264-mp4]-mv.mp4,2026-05-14 15:32:52.604152,Remux,-23.9,eac3,128,2,86.6849
39551,LOONEYTOONS_SHOW_SEASON_1_VOL2.Title3-mv.mp4,Minnie's Bow-Toons/LOONEYTOONS_SHOW_SEASON_1_VOL2.Title3-mv.mp4,2026-05-13 12:13:18.127551,Remux,,eac3,128,2,22.668478883333332
39552,LOONEYTOONS_SHOW_SEASON_1_VOL2.Title4-mv.mp4,Minnie's Bow-Toons/LOONEYTOONS_SHOW_SEASON_1_VOL2.Title4-mv.mp4,2026-05-13 12:22:51.090583,Remux,-22.7,eac3,128,2,22.668478883333332
39553,LOONEYTOONS_SHOW_SEASON_1_VOL2.Title5-mv.mp4,Minnie's Bow-Toons/LOONEYTOONS_SHOW_SEASON_1_VOL2.Title5-mv.mp4,2026-05-13 12:25:21.419850,Remux,-22.6,eac3,128,2,21.787737783333334
