
422 rows returned

id     | filename                                                                                                                                | filepath                                                                                                                                                                          | sourceintegratedlufs | sourceloudnessrangelu | sourcetruepeakdbtp | transcodedbymediavortex | pass_count | category       
-------+-----------------------------------------------------------------------------------------------------------------------------------------+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+----------------------+-----------------------+--------------------+-------------------------+------------+----------------
682518 | Barry - S02E03 - Past = Present x Future Over Yesterday HDTV-720p-mv.mp4                                                                | T:\Barry\Season 2\Barry - S02E03 - Past = Present x Future Over Yesterday HDTV-720p-mv.mp4                                                                                        | -14.2                | 11.6                  | 7.7                | None                    | 1          | severe_clipping
683046 | Boardwalk Empire - S03E03 - Bone for Tuna Bluray-720p-mv.mp4                                                                            | T:\Boardwalk Empire\Season 3\Boardwalk Empire - S03E03 - Bone for Tuna Bluray-720p-mv.mp4                                                                                         | -23.8                | 22.2                  | 7.6                | None                    | 1          | severe_clipping
682519 | Barry - S02E01 - The Show Must Go On, Probably HDTV-720p-mv.mp4                                                                         | T:\Barry\Season 2\Barry - S02E01 - The Show Must Go On, Probably HDTV-720p-mv.mp4                                                                                                 | -13.8                | 12.4                  | 6.3                | None                    | 1          | severe_clipping
683829 | Fargo - S05E08 - Blanket WEBDL-480p-mv.mp4                                                                                              | T:\Fargo\Season 5\Fargo - S05E08 - Blanket WEBDL-480p-mv.mp4                                                                                                                      | -21.5                | 17.6                  | 4.0                | None                    | 1          | severe_clipping
683305 | Fate - The Winx Saga - S02E07 - All the Wild Witches WEBRip-720p-mv.mp4                                                                 | T:\Fate - The Winx Saga\Season 2\Fate - The Winx Saga - S02E07 - All the Wild Witches WEBRip-720p-mv.mp4                                                                          | -20.4                | 19.9                  | 3.8                | None                    | 1          | severe_clipping
682656 | Wentworth - S07E08 - Protection WEBRip-480p-mv-mv.mp4                                                                                   | T:\Wentworth\Season 7\Wentworth - S07E08 - Protection WEBRip-480p-mv-mv.mp4                                                                                                       | -9.4                 | 18.0                  | 3.8                | True                    | 2          | severe_clipping
682527 | Fargo - S05E10 - Bisquik WEBDL-480p-mv.mp4                                                                                              | T:\Fargo\Season 5\Fargo - S05E10 - Bisquik WEBDL-480p-mv.mp4                                                                                                                      | -22.4                | 19.9                  | 3.7                | None                    | 1          | severe_clipping
683047 | Boardwalk Empire - S04E04 - All In Bluray-720p-mv-mv.mp4                                                                                | T:\Boardwalk Empire\Season 4\Boardwalk Empire - S04E04 - All In Bluray-720p-mv-mv.mp4                                                                                             | -21.8                | 21.1                  | 3.6                | True                    | 2          | severe_clipping
682525 | Fargo - S05E04 - Insolubilia WEBDL-480p-mv-mv.mp4                                                                                       | T:\Fargo\Season 5\Fargo - S05E04 - Insolubilia WEBDL-480p-mv-mv.mp4                                                                                                               | -20.4                | 18.9                  | 3.5                | True                    | 2          | severe_clipping
683729 | Panty & Stocking with Garterbelt - S01E21-E22 - Once Upon a Time in Garterbelt + Nothing to Room Bluray-720p-mv.mp4                     | T:\Panty & Stocking with Garterbelt\Season 1\Panty & Stocking with Garterbelt - S01E21-E22 - Once Upon a Time in Garterbelt + Nothing to Room Bluray-720p-mv.mp4                  | -19.9                | 16.1                  | 3.5                | None                    | 1          | severe_clipping
683910 | Pokémon - S09E37 - Channeling The Battle Zone DVD_temp-mv.mp4                                                                           | T:\Pokémon\Season 9\Pokémon - S09E37 - Channeling The Battle Zone DVD_temp-mv.mp4                                                                                                 | -9.5                 | 7.0                   | 3.5                | None                    | 1          | severe_clipping
683909 | Pokémon - S09E40 - Duels of the Jungle! DVD_temp-mv.mp4                                                                                 | T:\Pokémon\Season 9\Pokémon - S09E40 - Duels of the Jungle! DVD_temp-mv.mp4                                                                                                       | -10.9                | 8.6                   | 3.4                | None                    | 1          | severe_clipping
